{'acc': 0.75767813267813267, 'C': 0.01, 'G': 0.001}
{'acc': 0.76397420147420148, 'C': 0.01, 'G': 0.005}
{'acc': 0.77963759213759209, 'C': 0.01, 'G': 0.01}
{'acc': 0.76366707616707619, 'C': 0.01, 'G': 0.1}
{'acc': 0.8258599508599509, 'C': 0.1, 'G': 0.001}
{'acc': 0.83799140049140053, 'C': 0.1, 'G': 0.005}
{'acc': 0.83768427518427513, 'C': 0.1, 'G': 0.01}
{'acc': 0.79422604422604426, 'C': 0.1, 'G': 0.1}
{'acc': 0.84474815724815722, 'C': 1.0, 'G': 0.001}
{'acc': 0.85211916461916459, 'C': 1.0, 'G': 0.005}
{'acc': 0.85104422604422603, 'C': 1.0, 'G': 0.01}
{'acc': 0.82847051597051602, 'C': 1.0, 'G': 0.1}
{'acc': 0.85626535626535627, 'C': 10.0, 'G': 0.001}
{'acc': 0.85089066339066344, 'C': 10.0, 'G': 0.005}
{'acc': 0.8484336609336609, 'C': 10.0, 'G': 0.01}
{'acc': 0.82125307125307123, 'C': 10.0, 'G': 0.1}
{'acc': 0.85150491400491402, 'C': 100.0, 'G': 0.001}
{'acc': 0.84490171990171992, 'C': 100.0, 'G': 0.005}
{'acc': 0.8390663390663391, 'C': 100.0, 'G': 0.01}
{'acc': 0.81203931203931201, 'C': 100.0, 'G': 0.1}

test accuracy with normalization: 0.849969287469


{'acc': 0.75767813267813267, 'C': 0.01, 'G': 0.001}
{'acc': 0.75767813267813267, 'C': 0.01, 'G': 0.005}
{'acc': 0.75767813267813267, 'C': 0.01, 'G': 0.01}
{'acc': 0.75767813267813267, 'C': 0.01, 'G': 0.1}
{'acc': 0.81971744471744468, 'C': 0.1, 'G': 0.001}
{'acc': 0.83062039312039315, 'C': 0.1, 'G': 0.005}
{'acc': 0.81127149877149873, 'C': 0.1, 'G': 0.01}
{'acc': 0.75767813267813267, 'C': 0.1, 'G': 0.1}
{'acc': 0.84613022113022118, 'C': 1.0, 'G': 0.001}
{'acc': 0.84950859950859947, 'C': 1.0, 'G': 0.005}
{'acc': 0.84167690417690422, 'C': 1.0, 'G': 0.01}
{'acc': 0.75767813267813267, 'C': 1.0, 'G': 0.1}
{'acc': 0.85426904176904173, 'C': 10.0, 'G': 0.001}
{'acc': 0.82724201474201475, 'C': 10.0, 'G': 0.005}
{'acc': 0.84044840294840295, 'C': 10.0, 'G': 0.01}
{'acc': 0.75767813267813267, 'C': 10.0, 'G': 0.1}
{'acc': 0.81772113022113024, 'C': 100.0, 'G': 0.001}
{'acc': 0.82800982800982803, 'C': 100.0, 'G': 0.005}
{'acc': 0.84044840294840295, 'C': 100.0, 'G': 0.01}
{'acc': 0.75767813267813267, 'C': 100.0, 'G': 0.1}

test accuracy with random noise: 0.849047911548

{'acc': 0.75767813267813267, 'C': 0.01, 'G': 0.001}
{'acc': 0.75767813267813267, 'C': 0.01, 'G': 0.005}
{'acc': 0.75767813267813267, 'C': 0.01, 'G': 0.01}
{'acc': 0.75767813267813267, 'C': 0.01, 'G': 0.1}
{'acc': 0.75767813267813267, 'C': 0.1, 'G': 0.001}
{'acc': 0.75767813267813267, 'C': 0.1, 'G': 0.005}
{'acc': 0.75767813267813267, 'C': 0.1, 'G': 0.01}
{'acc': 0.75767813267813267, 'C': 0.1, 'G': 0.1}
{'acc': 0.75153562653562656, 'C': 1.0, 'G': 0.001}
{'acc': 0.75429975429975427, 'C': 1.0, 'G': 0.005}
{'acc': 0.75767813267813267, 'C': 1.0, 'G': 0.01}
{'acc': 0.75752457002457008, 'C': 1.0, 'G': 0.1}
{'acc': 0.71575552825552824, 'C': 10.0, 'G': 0.001}
{'acc': 0.74278255528255532, 'C': 10.0, 'G': 0.005}
{'acc': 0.74907862407862413, 'C': 10.0, 'G': 0.01}
{'acc': 0.75844594594594594, 'C': 10.0, 'G': 0.1}
{'acc': 0.70454545454545459, 'C': 100.0, 'G': 0.001}
{'acc': 0.74078624078624078, 'C': 100.0, 'G': 0.005}
{'acc': 0.74785012285012287, 'C': 100.0, 'G': 0.01}
{'acc': 0.75844594594594594, 'C': 100.0, 'G': 0.1}

test accuracy without normalization: 0.753071253071

